dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.29,0.15,52.38,52.38,FHRR,page_rank
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.29,0.15,52.38,52.38,FHRR,degree_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.29,0.15,52.38,52.38,FHRR,eigen_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.29,0.15,52.38,52.38,FHRR,katz_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.29,0.15,52.38,52.38,FHRR,closeness_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.29,0.15,52.38,52.38,FHRR,current_flow_closeness_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.29,0.15,52.38,52.38,FHRR,information_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.29,0.15,52.38,52.38,FHRR,betweenness_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.29,0.15,52.38,52.38,FHRR,current_flow_betweeness_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.29,0.15,52.38,52.38,FHRR,communicability_betweeness_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.29,0.15,52.38,52.38,FHRR,load_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.29,0.15,52.38,52.38,FHRR,subgraph_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.29,0.15,52.38,52.38,FHRR,subgraph_centrality_exp
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.29,0.15,52.38,52.38,FHRR,harmonic_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.29,0.15,52.38,52.38,FHRR,second_order_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.29,0.15,52.38,52.38,FHRR,second_order_centrality
