dataset,dimensions,train_time,test_time,accuracy,f1,VSA
AIDS,10000,3.93,1.42,98.67,98.67,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
BZR,10000,0.88,0.48,73.77,73.77,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
BZR_MD,10000,1.43,0.54,66.3,66.3,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
COX2,10000,1.0,0.48,57.45,57.45,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
COX2_MD,10000,1.9,0.77,60.44,60.44,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
DHFR,10000,1.66,0.66,72.69,72.69,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
DHFR_MD,10000,2.01,0.8,66.95,66.95,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
ER_MD,10000,1.9,0.92,72.39,72.39,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
FRANKENSTEIN,10000,4.44,2.18,60.22,60.22,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
MCF-7,10000,43.82,20.02,67.75,67.75,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
MCF-7H,10000,59.18,27.56,66.79,66.79,FHRR
