dataset,dimensions,train_time,test_time,accuracy,f1,VSA
PTC_FM,10000,0.51,0.19,62.86,62.86,BSC
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
MUTAG,10000,0.22,0.12,31.58,31.58,BSC
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
NCI1,10000,6.49,3.03,48.18,48.18,BSC
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
ENZYMES,10000,1.24,0.72,18.33,18.33,BSC
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
PROTEINS,10000,2.5,1.29,58.68,58.68,BSC
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
DD,10000,18.0,7.28,57.34,57.34,BSC
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
PTC_FM,10000,0.31,0.14,66.67,66.67,MAP
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
MUTAG,10000,0.16,0.08,78.95,78.95,MAP
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
NCI1,10000,4.96,2.41,64.72,64.72,MAP
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
ENZYMES,10000,0.85,0.35,21.67,21.67,MAP
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
PROTEINS,10000,1.43,0.7,70.96,70.96,MAP
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
DD,10000,10.59,4.54,75.42,75.42,MAP
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
PTC_FM,10000,0.86,0.41,59.05,59.05,HRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
MUTAG,10000,0.59,0.25,77.19,77.19,HRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
NCI1,10000,20.48,8.64,65.29,65.29,HRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
ENZYMES,10000,4.52,2.01,21.11,21.11,HRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
PROTEINS,10000,8.38,3.77,67.66,67.66,HRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
DD,10000,72.19,28.99,66.67,66.67,HRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
PTC_FM,10000,0.39,0.19,60.0,60.0,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
MUTAG,10000,0.23,0.12,87.72,87.72,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
NCI1,10000,6.95,3.3,63.18,63.18,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
ENZYMES,10000,1.16,0.64,20.56,20.56,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
PROTEINS,10000,3.26,1.11,67.07,67.07,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
DD,10000,20.3,8.46,73.73,73.73,FHRR
