dataset,dimensions,train_time,test_time,accuracy,f1,VSA
PTC_FM,10000,0.31,0.16,45.71,45.71,BSC
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
MUTAG,10000,0.21,0.1,36.84,36.84,BSC
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
NCI1,10000,8.5,2.44,48.58,48.58,BSC
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
ENZYMES,10000,0.94,0.41,15.56,15.56,BSC
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
PROTEINS,10000,1.92,0.89,40.12,40.12,BSC
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
DD,10000,16.5,6.58,60.73,60.73,BSC
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
PTC_FM,10000,0.13,0.08,50.48,50.48,MAP
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
MUTAG,10000,0.08,0.05,82.46,82.46,MAP
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
NCI1,10000,2.45,1.37,62.94,62.94,MAP
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
ENZYMES,10000,0.8,0.33,36.67,36.67,MAP
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
PROTEINS,10000,1.48,0.63,66.17,66.17,MAP
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
DD,10000,10.29,5.16,75.14,75.14,MAP
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
PTC_FM,10000,0.73,0.34,55.24,55.24,HRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
MUTAG,10000,0.49,0.22,78.95,78.95,HRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
NCI1,10000,17.42,7.93,63.1,63.1,HRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
ENZYMES,10000,3.71,2.36,40.0,40.0,HRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
PROTEINS,10000,9.86,3.51,68.26,68.26,HRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
DD,10000,74.12,33.86,70.06,70.06,HRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
PTC_FM,10000,0.19,0.11,51.43,51.43,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
MUTAG,10000,0.14,0.07,89.47,89.47,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
NCI1,10000,5.18,3.24,63.58,63.58,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
ENZYMES,10000,1.14,0.57,37.22,37.22,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
PROTEINS,10000,2.38,1.22,64.97,64.97,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
DD,10000,22.44,9.21,72.32,72.32,FHRR
