dataset,dimensions,train_time,test_time,accuracy,f1
PTC_FR,10000,0.78,0.36,54.72,54.72
dataset,dimensions,train_time,test_time,accuracy,f1
MUTAG,10000,0.44,0.21,70.18,70.18
dataset,dimensions,train_time,test_time,accuracy,f1
NCI1,10000,9.92,3.88,63.83,63.83
dataset,dimensions,train_time,test_time,accuracy,f1
ENZYMES,10000,1.78,0.75,35.0,35.0
dataset,dimensions,train_time,test_time,accuracy,f1
PROTEINS,10000,4.39,1.96,69.76,69.76
dataset,dimensions,train_time,test_time,accuracy,f1
DD,10000,40.12,16.63,50.85,50.85
