dataset,dimensions,train_time,test_time,accuracy,f1,VSA
MOLT-4,10000,93.31,44.41,74.76,74.76,FHRR
MOLT-4H,10000,147.44,66.59,69.82,69.82,FHRR
Mutagenicity,10000,9.9,6.32,68.13,68.13,FHRR
MUTAG,10000,0.27,0.15,78.95,78.95,FHRR
NCI1,10000,9.85,4.53,65.45,65.45,FHRR
NCI109,10000,9.52,4.51,64.89,64.89,FHRR
NCI-H23,10000,85.36,40.34,81.69,81.69,FHRR
NCI-H23H,10000,145.81,66.12,73.44,73.44,FHRR
OVCAR-8,10000,82.35,39.76,80.58,80.58,FHRR
OVCAR-8H,10000,144.6,65.45,70.4,70.4,FHRR
P388,10000,71.2,34.87,81.17,81.17,FHRR
P388H,10000,128.39,58.76,74.36,74.36,FHRR
PC-3,10000,57.4,27.54,80.83,80.83,FHRR
PC-3H,10000,100.01,44.83,75.31,75.31,FHRR
PTC_FM,10000,0.37,0.21,58.1,58.1,FHRR
PTC_FR,10000,0.4,0.2,57.55,57.55,FHRR
PTC_MM,10000,0.36,0.19,69.31,69.31,FHRR
PTC_MR,10000,0.38,0.21,51.92,51.92,FHRR
SF-295,10000,82.4,39.88,80.98,80.98,FHRR
SF-295H,10000,142.86,64.57,73.16,73.16,FHRR
SN12C,10000,81.06,38.81,81.1,81.1,FHRR
SN12CH,10000,144.62,65.77,71.46,71.46,FHRR
SW-620,10000,82.96,39.64,78.35,78.35,FHRR
SW-620H,10000,145.85,66.82,69.69,69.69,FHRR
UACC257,10000,82.37,40.06,82.55,82.55,FHRR
UACC257H,10000,140.79,65.45,73.89,73.89,FHRR
Yeast,10000,133.86,65.9,61.5,61.5,FHRR
YeastH,10000,238.76,109.82,64.41,64.41,FHRR
