dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.18,0.09,54.29,54.29,FHRR,none
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.28,0.15,54.29,54.29,FHRR,page_rank
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.16,0.1,57.14,57.14,FHRR,degree_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.21,0.11,66.67,66.67,FHRR,closeness_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.27,0.14,56.19,56.19,FHRR,betweenness_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.31,0.15,55.24,55.24,FHRR,load_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,1.86,1.04,56.19,56.19,FHRR,subgraph_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,2.01,0.43,58.1,58.1,FHRR,subgraph_centrality_exp
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PTC_FM,10000,0.34,0.12,57.14,57.14,FHRR,harmonic_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
MUTAG,10000,0.1,0.06,84.21,84.21,FHRR,none
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
MUTAG,10000,0.18,0.11,84.21,84.21,FHRR,page_rank
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
MUTAG,10000,0.11,0.06,84.21,84.21,FHRR,degree_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
MUTAG,10000,0.15,0.07,87.72,87.72,FHRR,closeness_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
MUTAG,10000,0.16,0.08,80.7,80.7,FHRR,betweenness_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
MUTAG,10000,0.15,0.08,84.21,84.21,FHRR,load_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
MUTAG,10000,0.33,0.17,84.21,84.21,FHRR,subgraph_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
MUTAG,10000,0.84,0.32,80.7,80.7,FHRR,subgraph_centrality_exp
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
MUTAG,10000,0.29,0.08,87.72,87.72,FHRR,harmonic_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
NCI1,10000,3.23,1.65,61.56,61.56,FHRR,none
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
NCI1,10000,5.19,2.66,63.99,63.99,FHRR,page_rank
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
NCI1,10000,3.92,2.12,61.96,61.96,FHRR,degree_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
NCI1,10000,5.31,2.7,64.88,64.88,FHRR,closeness_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
NCI1,10000,6.88,3.1,63.34,63.34,FHRR,betweenness_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
NCI1,10000,6.87,3.33,63.75,63.75,FHRR,load_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
NCI1,10000,17.5,7.46,63.99,63.99,FHRR,subgraph_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
NCI1,10000,14.78,7.28,62.69,62.69,FHRR,subgraph_centrality_exp
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
NCI1,10000,4.73,2.33,62.21,62.21,FHRR,harmonic_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
ENZYMES,10000,0.79,0.37,38.33,38.33,FHRR,none
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
ENZYMES,10000,0.86,0.44,25.56,25.56,FHRR,page_rank
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
ENZYMES,10000,0.82,0.39,17.78,17.78,FHRR,degree_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
ENZYMES,10000,1.24,0.7,22.78,22.78,FHRR,closeness_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
ENZYMES,10000,1.46,0.68,25.56,25.56,FHRR,betweenness_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
ENZYMES,10000,1.41,0.66,23.33,23.33,FHRR,load_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
ENZYMES,10000,3.16,1.46,31.67,31.67,FHRR,subgraph_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
ENZYMES,10000,3.93,1.93,22.22,22.22,FHRR,subgraph_centrality_exp
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
ENZYMES,10000,1.46,0.5,27.22,27.22,FHRR,harmonic_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PROTEINS,10000,1.78,0.79,67.37,67.37,FHRR,none
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PROTEINS,10000,1.91,0.99,70.66,70.66,FHRR,page_rank
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PROTEINS,10000,1.82,1.01,70.66,70.66,FHRR,degree_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PROTEINS,10000,2.77,1.17,67.37,67.37,FHRR,closeness_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PROTEINS,10000,4.91,1.96,66.17,66.17,FHRR,betweenness_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PROTEINS,10000,4.35,2.03,68.86,68.86,FHRR,load_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PROTEINS,10000,7.11,9.03,70.06,70.06,FHRR,subgraph_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PROTEINS,10000,38.65,14.57,68.86,68.86,FHRR,subgraph_centrality_exp
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
PROTEINS,10000,2.62,1.36,65.57,65.57,FHRR,harmonic_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
DD,10000,13.78,8.62,70.34,70.34,FHRR,none
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
DD,10000,14.7,7.09,75.71,75.71,FHRR,page_rank
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
DD,10000,18.09,6.54,73.16,73.16,FHRR,degree_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
DD,10000,41.61,34.44,73.73,73.73,FHRR,closeness_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
DD,10000,218.13,55.61,74.01,74.01,FHRR,betweenness_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
DD,10000,196.91,53.53,73.73,73.73,FHRR,load_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
DD,10000,79.52,21.22,73.45,73.45,FHRR,subgraph_centrality
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
DD,10000,460.37,188.7,75.14,75.14,FHRR,subgraph_centrality_exp
dataset,dimensions,train_time,test_time,accuracy,f1,VSA,metric
DD,10000,72.85,21.18,73.16,73.16,FHRR,harmonic_centrality
