Name,Accuracy,TrainTime,TestTime,Dimensions,Method,Encoding,Iterations
CIFAR10,0.2919999957084656,151.44730496406555,44.627970933914185,10000,add,flocet,1
EuropeanLanguages,0.04995238035917282,221.04368996620178,51.67182445526123,10000,add,flocet,1
MNIST,0.828000009059906,70.35180878639221,25.030144214630127,10000,add,flocet,1
EMGHandGestures,0.9873417615890503,0.7705090045928955,0.9065327644348145,10000,add,flocet,1
PAMAP,0.9297888278961182,233.44874954223633,298.4924385547638,10000,add,flocet,1
ISOLET,0.8838999271392822,10.3961820602417,7.629878759384155,10000,add,flocet,1
CIFAR10,0.33739998936653137,192.24329257011414,41.32313823699951,10000,adapt,flocet,1
EuropeanLanguages,0.045523811131715775,282.66144943237305,48.31807231903076,10000,adapt,flocet,1
MNIST,0.9150000214576721,104.27073693275452,27.52158212661743,10000,adapt,flocet,1
EMGHandGestures,1.0,1.1522412300109863,0.8865303993225098,10000,adapt,flocet,1
PAMAP,0.9965211153030396,317.5850615501404,283.2530882358551,10000,adapt,flocet,1
ISOLET,0.8338678479194641,16.06019687652588,6.752346992492676,10000,adapt,flocet,1
CIFAR10,0.33180001378059387,188.11761021614075,43.08252716064453,10000,online,flocet,1
EuropeanLanguages,0.0451904758810997,334.53567361831665,47.00625967979431,10000,online,flocet,1
MNIST,0.9258999824523926,100.0626540184021,23.663064002990723,10000,online,flocet,1
EMGHandGestures,1.0,1.1361827850341797,0.8873231410980225,10000,online,flocet,1
PAMAP,0.9975324273109436,211.4832067489624,142.81727409362793,10000,online,flocet,1
ISOLET,0.8576010465621948,11.74580430984497,3.591580867767334,10000,online,flocet,1
CIFAR10,0.4016999900341034,239.91331243515015,55.2564914226532,10000,adjust,flocet,1
EuropeanLanguages,0.051523808389902115,516.1205077171326,79.94513821601868,10000,adjust,flocet,1
MNIST,0.9373000264167786,157.66128873825073,23.926003456115723,10000,adjust,flocet,1
EMGHandGestures,0.9873417615890503,1.0391085147857666,0.3439192771911621,10000,adjust,flocet,1
PAMAP,0.9957795143127441,260.7647566795349,144.4212348461151,10000,adjust,flocet,1
ISOLET,0.8864656686782837,10.282720804214478,3.6501171588897705,10000,adjust,flocet,1
CIFAR10,0.28929999470710754,93.99762392044067,29.472782611846924,5000,add,flocet,1
EuropeanLanguages,0.049619048833847046,323.50043964385986,94.58888816833496,5000,add,flocet,1
MNIST,0.8259999752044678,86.42805814743042,43.77722477912903,5000,add,flocet,1
EMGHandGestures,0.9936708807945251,0.4792671203613281,0.2948479652404785,5000,add,flocet,1
PAMAP,0.9294517636299133,241.6965913772583,242.92607998847961,5000,add,flocet,1
ISOLET,0.8794098496437073,8.857852935791016,5.339771032333374,5000,add,flocet,1
CIFAR10,0.32030001282691956,168.59750247001648,48.977705001831055,5000,adapt,flocet,1
EuropeanLanguages,0.04947619140148163,436.515994310379,65.02795147895813,5000,adapt,flocet,1
MNIST,0.8916000127792358,149.47519636154175,43.61020374298096,5000,adapt,flocet,1
EMGHandGestures,1.0,0.9440762996673584,0.8431792259216309,5000,adapt,flocet,1
PAMAP,0.9969121813774109,245.90354013442993,249.6447672843933,5000,adapt,flocet,1
ISOLET,0.8736369609832764,13.893816471099854,5.272151231765747,5000,adapt,flocet,1
CIFAR10,0.323199987411499,179.69018077850342,43.735148429870605,5000,online,flocet,1
EuropeanLanguages,0.04657142981886864,500.99933075904846,46.29053521156311,5000,online,flocet,1
MNIST,0.8632000088691711,98.96463656425476,26.045385360717773,5000,online,flocet,1
EMGHandGestures,0.9936708807945251,1.0951895713806152,0.833587646484375,5000,online,flocet,1
PAMAP,0.998206615447998,198.21178460121155,133.86943817138672,5000,online,flocet,1
ISOLET,0.8826170563697815,11.334888935089111,2.66835618019104,5000,online,flocet,1
CIFAR10,0.40070000290870667,148.05269718170166,44.45076775550842,5000,adjust,flocet,1
EuropeanLanguages,0.04828571528196335,387.1368453502655,36.79381728172302,5000,adjust,flocet,1
MNIST,0.9259999990463257,114.95016193389893,24.771658182144165,5000,adjust,flocet,1
EMGHandGestures,0.9936708807945251,1.0491385459899902,0.7304191589355469,5000,adjust,flocet,1
PAMAP,0.9914646148681641,267.32966017723083,183.3618290424347,5000,adjust,flocet,1
ISOLET,0.9025015830993652,18.901666402816772,5.778669595718384,5000,adjust,flocet,1
CIFAR10,0.29420000314712524,65.01928639411926,40.36123585700989,1000,add,flocet,1
EuropeanLanguages,0.05000000074505806,208.59414935112,65.20327568054199,1000,add,flocet,1
MNIST,0.8215000033378601,67.95728588104248,31.235979080200195,1000,add,flocet,1
