name,accuracy,train_time,test_time,dimensions,method,encoding,iterations,lr,chunks,threshold,reduce_subclass,model_quantize,epsilon,alpha,beta,theta,r,lazy_regeneration,model_neural,lazy_regeneration,model_neural,partial_data,robustness_failed_dimensions
CIFAR10,0.2928999960422516,44.54081726074219,59.133116006851196,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,0
CIFAR10,0.2937000095844269,44.54081726074219,65.13862657546997,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,5
CIFAR10,0.2906999886035919,44.54081726074219,55.67536950111389,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,10
CIFAR10,0.29109999537467957,44.54081726074219,64.17361617088318,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,20
CIFAR10,0.2903999984264374,44.54081726074219,67.54951238632202,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,30
CIFAR10,0.28189998865127563,44.54081726074219,56.67623949050903,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,40
CIFAR10,0.09920000284910202,44.54081726074219,53.30376362800598,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,50
CIFAR10,0.03440000116825104,44.54081726074219,62.459410667419434,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,60
CIFAR10,0.035100001841783524,44.54081726074219,64.20213341712952,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,70
CIFAR10,0.03280000016093254,44.54081726074219,63.30603861808777,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,80
CIFAR10,0.034299999475479126,44.54081726074219,69.09451532363892,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,90
CIFAR10,0.033399999141693115,44.54081726074219,68.88224220275879,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,100
EuropeanLanguages,0.04823809489607811,42.737558364868164,67.61987543106079,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,0
EuropeanLanguages,0.04823809489607811,42.737558364868164,75.64241051673889,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,5
EuropeanLanguages,0.04819047451019287,42.737558364868164,58.717167139053345,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,10
EuropeanLanguages,0.04814285784959793,42.737558364868164,63.902528285980225,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,20
EuropeanLanguages,0.04800000041723251,42.737558364868164,58.577807664871216,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,30
EuropeanLanguages,0.049142856150865555,42.737558364868164,73.79232954978943,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,40
EuropeanLanguages,0.04899999871850014,42.737558364868164,73.00221037864685,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,50
EuropeanLanguages,0.046238094568252563,42.737558364868164,68.70067024230957,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,60
EuropeanLanguages,0.04619047790765762,42.737558364868164,63.34264874458313,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,70
EuropeanLanguages,0.0462857149541378,42.737558364868164,58.897767543792725,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,80
EuropeanLanguages,0.046095237135887146,42.737558364868164,56.46074819564819,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,90
EuropeanLanguages,0.046142857521772385,42.737558364868164,60.617696046829224,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,100
MNIST,0.8276000022888184,21.69366455078125,32.27360415458679,10000,add,density,30,1,,,,,,,,,,,,5,reset,0.25,0
