name,accuracy,train_time,test_time,dimensions,method,encoding,iterations,lr,chunks,threshold,reduce_subclass,model_quantize,epsilon,alpha,beta,theta,r,lazy_regeneration,model_neural,lazy_regeneration,model_neural,partial_data,robustness_failed_dimensions,weight_decay,learning_rate,dropout_rate
Abalone,0.5689655172413793,0.6066827774047852,0.20850062370300293,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Abalone,0.5823754789272031,0.6407606601715088,0.20801925659179688,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Abalone,0.5814176245210728,0.5580518245697021,0.20716404914855957,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Abalone,0.6111111111111112,0.5611734390258789,0.20773720741271973,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Abalone,0.60727969348659,0.5582680702209473,0.20798468589782715,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
AcuteInflammation,1.0,0.13922429084777832,0.01946711540222168,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
AcuteInflammation,1.0,0.13854289054870605,0.019353389739990234,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
AcuteInflammation,1.0,0.13840460777282715,0.01939988136291504,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
AcuteInflammation,1.0,0.13861346244812012,0.019292116165161133,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
AcuteInflammation,1.0,0.1383202075958252,0.01930975914001465,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
AcuteNephritis,0.9666666666666667,0.13772058486938477,0.01934218406677246,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
AcuteNephritis,0.9666666666666667,0.13734221458435059,0.019175291061401367,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
AcuteNephritis,0.9666666666666667,0.13752174377441406,0.019143342971801758,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
AcuteNephritis,0.9666666666666667,0.13748669624328613,0.01922297477722168,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
AcuteNephritis,0.9666666666666667,0.13730359077453613,0.01920342445373535,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Adult,0.8503777409250046,4.375472068786621,3.0986390113830566,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Adult,0.8462010932989374,4.202711343765259,3.1764121055603027,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Adult,0.8466924636078865,4.188112258911133,3.0603835582733154,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Adult,0.8459554081444629,4.282764673233032,2.9491655826568604,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Adult,0.8486579448436828,4.4081501960754395,2.96274995803833,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Annealing,0.97,0.21750235557556152,0.03238821029663086,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
Annealing,0.96,0.21772074699401855,0.03247475624084473,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
