name,accuracy,train_time,test_time,dimensions,method,encoding,iterations,lr,chunks,threshold,reduce_subclass,model_quantize,epsilon,alpha,beta,theta,r,lazy_regeneration,model_neural,lazy_regeneration,model_neural,partial_data,robustness_failed_dimensions,weight_decay,learning_rate,dropout_rate
CIFAR10,0.4472,104.10500741004944,3.9574999809265137,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
CIFAR10,0.4443,103.8308162689209,3.942476272583008,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
CIFAR10,0.4493,103.98637270927429,3.9611804485321045,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
CIFAR10,0.4465,103.69199085235596,3.965411424636841,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
CIFAR10,0.4509,106.24651002883911,3.8570072650909424,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
EuropeanLanguages,0.2730952380952381,80.74932765960693,4.643545150756836,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
EuropeanLanguages,0.27604761904761904,77.15929317474365,4.679736852645874,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
EuropeanLanguages,0.27466666666666667,72.92081046104431,4.702508926391602,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
EuropeanLanguages,0.26361904761904764,72.07278108596802,4.468587398529053,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
EuropeanLanguages,0.2742380952380952,73.17897081375122,4.408149719238281,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
MNIST,0.9637,22.415245294570923,2.9236276149749756,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
MNIST,0.9661,22.3063006401062,2.89276385307312,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
MNIST,0.9642,22.492708206176758,3.0217816829681396,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
MNIST,0.9652,22.42583394050598,2.9085657596588135,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
MNIST,0.9634,22.295645236968994,2.8598392009735107,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
EMGHandGestures,0.9810126582278481,0.18808960914611816,0.04709625244140625,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
EMGHandGestures,0.9936708860759493,0.18774628639221191,0.048714399337768555,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
EMGHandGestures,0.9936708860759493,0.18841981887817383,0.04771232604980469,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
EMGHandGestures,0.9936708860759493,0.18728065490722656,0.04772806167602539,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
EMGHandGestures,0.9873417721518988,0.1874711513519287,0.047682762145996094,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
PAMAP,0.9997707720935249,27.71083688735962,15.124574661254883,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
PAMAP,0.9998112240770206,26.836259126663208,15.05276083946228,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
PAMAP,0.9997168361155309,25.00353240966797,14.838401079177856,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
PAMAP,0.9997438041045279,25.124341011047363,15.090423822402954,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
PAMAP,0.9997168361155309,24.782825469970703,15.00804352760315,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
ISOLET,0.9364977549711353,5.41571831703186,0.3446352481842041,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
ISOLET,0.940987812700449,5.4911394119262695,0.33757710456848145,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
ISOLET,0.9364977549711353,5.427561044692993,0.3381378650665283,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
ISOLET,0.9300833867864016,5.495225429534912,0.3348565101623535,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
ISOLET,0.9403463758819757,5.491750240325928,0.33336734771728516,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
UCIHAR,0.7858839497794368,5.215319871902466,0.5530023574829102,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
UCIHAR,0.7556837461825585,5.181878328323364,0.5512533187866211,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
UCIHAR,0.7203936206311503,5.232512474060059,0.5643150806427002,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
UCIHAR,0.7529691211401425,5.272619009017944,0.5643978118896484,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
UCIHAR,0.7692568713946386,5.262059688568115,0.5515820980072021,10000,random_forest,flocet,30,5,,,,,,,,,,,,5,reset,0.5,0,,,
