dataset,classes,HashmapProjectionOnline,HashmapProjectionOnlineV2
Abalone,3,0.538314163684845,0.599616885185242
AcuteInflammation,2,1.0,1.0
AcuteNephritis,2,1.0,1.0
Adult,2,0.817947328090668,0.784964084625244
Annealing,5,0.790000021457672,0.759999990463257
Arrhythmia,13,0.513274312019348,0.637168169021606
AudiologyStd,18,0.839999973773956,0.639999985694885
BalanceScale,3,0.961538434028626,0.955128192901611
Balloons,2,0.75,0.75
Bank,2,0.884070813655853,0.846017718315125
Blood,2,0.700534760951996,0.770053446292877
BreastCancer,2,0.633802831172943,0.718309879302979
BreastCancerWisc,2,0.988571405410767,0.977142870426178
BreastCancerWiscDiag,2,0.964788734912872,0.97183096408844
BreastCancerWiscProg,2,0.714285731315613,0.795918345451355
BreastTissue,6,0.769230782985687,0.692307710647583
Car,4,0.967592597007752,0.935185194015503
Cardiotocography10Clases,10,0.826741993427277,0.775894522666931
Cardiotocography3Clases,3,0.928436934947968,0.871939718723297
ChessKrvk,18,0.441545486450195,0.389506697654724
ChessKrvkp,2,0.984981238842011,0.986232817173004
CongressionalVoting,2,0.623853206634522,0.486238539218903
ConnBenchSonarMinesRocks,2,0.788461565971375,0.846153855323792
ConnBenchVowelDeterding,11,0.896103918552399,0.950216472148895
Connect4,3,0.82100772857666,0.681153416633606
Contrac,3,0.489130437374115,0.508152186870575
CreditApproval,2,0.848837196826935,0.848837196826935
CylinderBands,2,0.75,0.734375
Dermatology,6,0.97802197933197,0.989010989665985
Echocardiogram,2,0.60606062412262,0.787878811359406
Ecoli,8,0.821428596973419,0.821428596973419
EnergyY1,3,0.885416686534882,0.927083313465118
EnergyY2,3,0.885416686534882,0.90625
Fertility,2,0.879999995231628,0.800000011920929
Flags,8,0.5625,0.604166686534882
Glass,6,0.77358490228653,0.73584908246994
HabermanSurvival,2,0.60526317358017,0.671052634716034
HayesRoth,3,0.0357142873108387,0.0714285746216774
HeartCleveland,5,0.64473682641983,0.60526317358017
HeartHungarian,5,0.712328791618347,0.808219194412231
HeartSwitzerland,5,0.25806450843811,0.419354826211929
HeartVa,5,0.239999994635582,0.239999994635582
Hepatitis,2,0.82051283121109,0.794871807098389
HillValley,2,0.5,0.485148519277573
