Name,Accuracy,Time,Size,Classes,Dimensions,Method
Abalone,0.6197317838668820,54.87652921676640,6266,3,10000,DensityEncodingOnline
AcuteInflammation,1.0,1.3813281059265100,180,2,10000,DensityEncodingOnline
AcuteNephritis,1.0,1.4063806533813500,180,2,10000,DensityEncodingOnline
Adult,0.8123579621315000,537.8370921611790,65122,2,10000,DensityEncodingOnline
Annealing,0.6600000262260440,13.086158752441400,1596,5,10000,DensityEncodingOnline
Arrhythmia,0.6991150379180910,10.079514026641800,678,13,10000,DensityEncodingOnline
AudiologyStd,0.7599999904632570,2.97947359085083,342,18,10000,DensityEncodingOnline
BalanceScale,0.9615384340286260,7.250051498413090,938,3,10000,DensityEncodingOnline
Balloons,1.0,0.23809599876403800,24,2,10000,DensityEncodingOnline
Bank,0.8805309534072880,52.8299024105072,6782,2,10000,DensityEncodingOnline
Blood,0.6096256971359250,9.235214233398440,1122,2,10000,DensityEncodingOnline
BreastCancer,0.6056337952613830,3.6431586742401100,430,2,10000,DensityEncodingOnline
BreastCancerWisc,0.9828571677207950,8.116620063781740,1048,2,10000,DensityEncodingOnline
BreastCancerWiscDiag,0.9718309640884400,7.056414842605590,854,2,10000,DensityEncodingOnline
BreastCancerWiscProg,0.6938775777816770,2.555943489074710,298,2,10000,DensityEncodingOnline
BreastTissue,0.7692307829856870,1.395517110824590,160,6,10000,DensityEncodingOnline
Car,0.9351851940155030,20.392849922180200,2592,4,10000,DensityEncodingOnline
Cardiotocography10Clases,0.8286252617836000,26.929702281951900,3190,10,10000,DensityEncodingOnline
Cardiotocography3Clases,0.9265536665916440,25.50489854812620,3190,3,10000,DensityEncodingOnline
ChessKrvk,0.455089807510376,399.87171483039900,42084,18,10000,DensityEncodingOnline
ChessKrvkp,0.9824780821800230,39.1577308177948,4794,2,10000,DensityEncodingOnline
CongressionalVoting,0.4403669834136960,5.591142654418950,652,2,10000,DensityEncodingOnline
ConnBenchSonarMinesRocks,0.7692307829856870,2.5849740505218500,312,2,10000,DensityEncodingOnline
ConnBenchVowelDeterding,0.976190447807312,10.595044374465900,1056,11,10000,DensityEncodingOnline
Connect4,0.8223695755004880,829.6121120452880,101336,3,10000,DensityEncodingOnline
Contrac,0.46195653080940200,19.263126134872400,2210,3,10000,DensityEncodingOnline
CreditApproval,0.8255813717842100,8.086141109466550,1036,2,10000,DensityEncodingOnline
CylinderBands,0.765625,6.364044189453130,768,2,10000,DensityEncodingOnline
Dermatology,0.9780219793319700,4.571027994155880,550,6,10000,DensityEncodingOnline
Echocardiogram,0.8787878751754760,1.5875213146209700,196,2,10000,DensityEncodingOnline
Ecoli,0.8214285969734190,4.251520156860350,504,8,10000,DensityEncodingOnline
EnergyY1,0.9427083134651180,9.002098321914670,1152,3,10000,DensityEncodingOnline
EnergyY2,0.8645833134651180,8.999696016311650,1152,3,10000,DensityEncodingOnline
Fertility,0.8799999952316280,1.2734427452087400,150,2,10000,DensityEncodingOnline
Flags,0.5833333134651180,2.4703359603881800,292,8,10000,DensityEncodingOnline
Glass,0.7547169923782350,2.7620835304260300,322,6,10000,DensityEncodingOnline
HabermanSurvival,0.6184210777282720,4.016449213027950,460,2,10000,DensityEncodingOnline
HayesRoth,0.0357142873108387,2.1175284385681200,264,3,10000,DensityEncodingOnline
HeartCleveland,0.5789473652839660,3.930330753326420,454,5,10000,DensityEncodingOnline
HeartHungarian,0.7808219194412230,3.64996600151062,442,5,10000,DensityEncodingOnline
HeartSwitzerland,0.4193548262119290,1.6391565799713100,184,5,10000,DensityEncodingOnline
HeartVa,0.20000000298023200,2.579348564147950,300,5,10000,DensityEncodingOnline
Hepatitis,0.8974359035491940,1.8587324619293200,232,2,10000,DensityEncodingOnline
