Name,Accuracy,Time,Size,Classes,Dimensions,Method
Abalone,0.5699234008789062,12.849247217178345,6266,3,10000,HashmapProjectionOnline
AcuteInflammation,1.0,0.3355903625488281,180,2,10000,HashmapProjectionOnline
AcuteNephritis,1.0,0.4189612865447998,180,2,10000,HashmapProjectionOnline
Adult,0.8197284936904907,152.37215399742126,65122,2,10000,HashmapProjectionOnline
Annealing,0.7699999809265137,2.593430995941162,1596,5,10000,HashmapProjectionOnline
Arrhythmia,0.5575221180915833,1.9563357830047607,678,13,10000,HashmapProjectionOnline
AudiologyStd,0.6399999856948853,0.6418216228485107,342,18,10000,HashmapProjectionOnline
BalanceScale,0.8974359035491943,1.531196117401123,938,3,10000,HashmapProjectionOnline
Balloons,0.75,0.05763816833496094,24,2,10000,HashmapProjectionOnline
Bank,0.886725664138794,10.71737027168274,6782,2,10000,HashmapProjectionOnline
Blood,0.7058823704719543,2.1934926509857178,1122,2,10000,HashmapProjectionOnline
BreastCancer,0.5211267471313477,0.7135398387908936,430,2,10000,HashmapProjectionOnline
BreastCancerWisc,0.9485714435577393,1.9001646041870117,1048,2,10000,HashmapProjectionOnline
BreastCancerWiscDiag,0.9929577708244324,1.6818034648895264,854,2,10000,HashmapProjectionOnline
BreastCancerWiscProg,0.6530612111091614,0.5979835987091064,298,2,10000,HashmapProjectionOnline
BreastTissue,0.6153846383094788,0.3661832809448242,160,6,10000,HashmapProjectionOnline
Car,0.8935185074806213,4.16455864906311,2592,4,10000,HashmapProjectionOnline
Cardiotocography10Clases,0.7043314576148987,5.633206605911255,3190,10,10000,HashmapProjectionOnline
Cardiotocography3Clases,0.8700565099716187,5.975755214691162,3190,3,10000,HashmapProjectionOnline
ChessKrvk,0.43484458327293396,114.2757933139801,42084,18,10000,HashmapProjectionOnline
ChessKrvkp,0.8836045265197754,11.986949682235718,4794,2,10000,HashmapProjectionOnline
CongressionalVoting,0.642201840877533,1.6862235069274902,652,2,10000,HashmapProjectionOnline
ConnBenchSonarMinesRocks,0.75,0.7791445255279541,312,2,10000,HashmapProjectionOnline
ConnBenchVowelDeterding,0.7770562767982483,4.152539968490601,1056,11,10000,HashmapProjectionOnline
Connect4,0.7812777757644653,194.93978071212769,101336,3,10000,HashmapProjectionOnline
Contrac,0.5054348111152649,3.655616283416748,2210,3,10000,HashmapProjectionOnline
CreditApproval,0.8255813717842102,1.6991405487060547,1036,2,10000,HashmapProjectionOnline
CylinderBands,0.7421875,1.3289909362792969,768,2,10000,HashmapProjectionOnline
Dermatology,0.9230769276618958,1.1407344341278076,550,6,10000,HashmapProjectionOnline
Echocardiogram,0.8787878751754761,0.3040478229522705,196,2,10000,HashmapProjectionOnline
Ecoli,0.8571428656578064,1.0223472118377686,504,8,10000,HashmapProjectionOnline
EnergyY1,0.8958333134651184,2.0050477981567383,1152,3,10000,HashmapProjectionOnline
EnergyY2,0.8802083134651184,1.8982274532318115,1152,3,10000,HashmapProjectionOnline
Fertility,0.8399999737739563,0.313873291015625,150,2,10000,HashmapProjectionOnline
Flags,0.5208333134651184,0.4470086097717285,292,8,10000,HashmapProjectionOnline
Glass,0.5094339847564697,0.33554911613464355,322,6,10000,HashmapProjectionOnline
HabermanSurvival,0.6710526347160339,0.4986283779144287,460,2,10000,HashmapProjectionOnline
HayesRoth,0.0714285746216774,0.26427125930786133,264,3,10000,HashmapProjectionOnline
HeartCleveland,0.6447368264198303,0.9114782810211182,454,5,10000,HashmapProjectionOnline
HeartHungarian,0.7945205569267273,0.9688708782196045,442,5,10000,HashmapProjectionOnline
HeartSwitzerland,0.29032257199287415,0.48633670806884766,184,5,10000,HashmapProjectionOnline
HeartVa,0.20000000298023224,0.742469072341919,300,5,10000,HashmapProjectionOnline
Hepatitis,0.7948718070983887,0.4181938171386719,232,2,10000,HashmapProjectionOnline
HillValley,0.4785478413105011,4.966771364212036,1212,2,10000,HashmapProjectionOnline
HorseColic,0.6176470518112183,1.3097846508026123,600,2,10000,HashmapProjectionOnline
IlpdIndianLiver,0.6164383292198181,1.659862756729126,874,2,10000,HashmapProjectionOnline
ImageSegmentation,0.1428571492433548,9.416794538497925,420,7,10000,HashmapProjectionOnline
Ionosphere,0.9204545617103577,0.9397439956665039,526,2,10000,HashmapProjectionOnline
Iris,0.9459459185600281,0.5184252262115479,226,3,10000,HashmapProjectionOnline
LedDisplay,0.5839999914169312,3.462099313735962,1500,10,10000,HashmapProjectionOnline
Lenses,0.8333333134651184,0.10499334335327148,36,3,10000,HashmapProjectionOnline
Letter,0.8253999948501587,65.33894324302673,30000,26,10000,HashmapProjectionOnline
