Name,Accuracy,Time,Size,Classes,Dimensions,Method
Abalone,0.538314163684845,64.11877870559690,6266,3,10000,HashmapProjectionOnline
AcuteInflammation,1.0,1.7881536483764600,180,2,10000,HashmapProjectionOnline
AcuteNephritis,1.0,1.6801271438598600,180,2,10000,HashmapProjectionOnline
Adult,0.8179473280906680,598.305596113205,65122,2,10000,HashmapProjectionOnline
Annealing,0.7900000214576720,12.964396238327000,1596,5,10000,HashmapProjectionOnline
Arrhythmia,0.5132743120193480,9.968190908432010,678,13,10000,HashmapProjectionOnline
AudiologyStd,0.8399999737739560,2.917731761932370,342,18,10000,HashmapProjectionOnline
BalanceScale,0.9615384340286260,8.127747774124150,938,3,10000,HashmapProjectionOnline
Balloons,0.75,0.33772969245910600,24,2,10000,HashmapProjectionOnline
Bank,0.8840708136558530,88.29416680336000,6782,2,10000,HashmapProjectionOnline
Blood,0.7005347609519960,17.010164260864300,1122,2,10000,HashmapProjectionOnline
BreastCancer,0.6338028311729430,7.042844772338870,430,2,10000,HashmapProjectionOnline
BreastCancerWisc,0.9885714054107670,14.693408250808700,1048,2,10000,HashmapProjectionOnline
BreastCancerWiscDiag,0.9647887349128720,13.293467044830300,854,2,10000,HashmapProjectionOnline
BreastCancerWiscProg,0.7142857313156130,4.782721042633060,298,2,10000,HashmapProjectionOnline
BreastTissue,0.7692307829856870,2.6417932510376000,160,6,10000,HashmapProjectionOnline
Car,0.9675925970077520,37.332727909088100,2592,4,10000,HashmapProjectionOnline
Cardiotocography10Clases,0.8267419934272770,51.31564903259280,3190,10,10000,HashmapProjectionOnline
Cardiotocography3Clases,0.9284369349479680,45.63451957702640,3190,3,10000,HashmapProjectionOnline
ChessKrvk,0.4415454864501950,726.559558391571,42084,18,10000,HashmapProjectionOnline
ChessKrvkp,0.9849812388420110,72.82740306854250,4794,2,10000,HashmapProjectionOnline
CongressionalVoting,0.6238532066345220,11.245532035827600,652,2,10000,HashmapProjectionOnline
ConnBenchSonarMinesRocks,0.7884615659713750,5.164661169052120,312,2,10000,HashmapProjectionOnline
ConnBenchVowelDeterding,0.8961039185523990,18.833460092544600,1056,11,10000,HashmapProjectionOnline
Connect4,0.8210077285766600,1625.0197649002100,101336,3,10000,HashmapProjectionOnline
Contrac,0.489130437374115,38.5867714881897,2210,3,10000,HashmapProjectionOnline
CreditApproval,0.8488371968269350,10.316989660263100,1036,2,10000,HashmapProjectionOnline
CylinderBands,0.75,7.391493320465090,768,2,10000,HashmapProjectionOnline
Dermatology,0.9780219793319700,4.619347333908080,550,6,10000,HashmapProjectionOnline
Echocardiogram,0.6060606241226200,1.7262303829193100,196,2,10000,HashmapProjectionOnline
Ecoli,0.8214285969734190,4.2262938022613500,504,8,10000,HashmapProjectionOnline
EnergyY1,0.8854166865348820,11.624098062515300,1152,3,10000,HashmapProjectionOnline
EnergyY2,0.8854166865348820,15.990532636642500,1152,3,10000,HashmapProjectionOnline
Fertility,0.8799999952316280,2.238473415374760,150,2,10000,HashmapProjectionOnline
Flags,0.5625,3.6965150833129900,292,8,10000,HashmapProjectionOnline
Glass,0.7735849022865300,4.345989942550660,322,6,10000,HashmapProjectionOnline
HabermanSurvival,0.6052631735801700,5.389508247375490,460,2,10000,HashmapProjectionOnline
HayesRoth,0.0357142873108387,2.9803872108459500,264,3,10000,HashmapProjectionOnline
HeartCleveland,0.6447368264198300,5.995944261550900,454,5,10000,HashmapProjectionOnline
HeartHungarian,0.7123287916183470,5.980999231338500,442,5,10000,HashmapProjectionOnline
HeartSwitzerland,0.25806450843811000,1.5744493007659900,184,5,10000,HashmapProjectionOnline
HeartVa,0.23999999463558200,3.036445140838620,300,5,10000,HashmapProjectionOnline
Hepatitis,0.8205128312110900,1.7672455310821500,232,2,10000,HashmapProjectionOnline
HillValley,0.5,13.540518760681200,1212,2,10000,HashmapProjectionOnline
HorseColic,0.6470588445663450,8.267507791519170,600,2,10000,HashmapProjectionOnline
IlpdIndianLiver,0.6712328791618350,7.006035804748540,874,2,10000,HashmapProjectionOnline
ImageSegmentation,0.272857129573822,7.9066174030304000,420,7,10000,HashmapProjectionOnline
Ionosphere,0.9204545617103580,4.819026708602910,526,2,10000,HashmapProjectionOnline
Iris,0.9729729890823360,1.758781909942630,226,3,10000,HashmapProjectionOnline
LedDisplay,0.5519999861717220,14.547073602676400,1500,10,10000,HashmapProjectionOnline
