Name,Accuracy,Time,Size,Classes,Dimensions,Method
Abalone,0.6005747318267822,2.9597980976104736,6266,3,10000,RandomProjectionOnline
AcuteInflammation,1.0,0.09467601776123047,180,2,10000,RandomProjectionOnline
AcuteNephritis,1.0,0.07687973976135254,180,2,10000,RandomProjectionOnline
Adult,0.7940544486045837,31.090955018997192,65122,2,10000,RandomProjectionOnline
Annealing,0.2800000011920929,1.2385079860687256,1596,5,10000,RandomProjectionOnline
Arrhythmia,0.5929203629493713,0.5989649295806885,678,13,10000,RandomProjectionOnline
AudiologyStd,0.800000011920929,0.15539312362670898,342,18,10000,RandomProjectionOnline
BalanceScale,0.9358974099159241,0.32745790481567383,938,3,10000,RandomProjectionOnline
Balloons,0.5,0.024821043014526367,24,2,10000,RandomProjectionOnline
Bank,0.8672566413879395,2.5316929817199707,6782,2,10000,RandomProjectionOnline
Blood,0.7058823704719543,0.9567301273345947,1122,2,10000,RandomProjectionOnline
BreastCancer,0.7042253613471985,0.19068026542663574,430,2,10000,RandomProjectionOnline
BreastCancerWisc,0.9028571248054504,0.3932170867919922,1048,2,10000,RandomProjectionOnline
BreastCancerWiscDiag,0.9295774698257446,0.3150501251220703,854,2,10000,RandomProjectionOnline
BreastCancerWiscProg,0.795918345451355,0.13548493385314941,298,2,10000,RandomProjectionOnline
BreastTissue,0.6153846383094788,0.08478307723999023,160,6,10000,RandomProjectionOnline
Car,0.8310185074806213,1.0356600284576416,2592,4,10000,RandomProjectionOnline
Cardiotocography10Clases,0.7325800657272339,1.2572369575500488,3190,10,10000,RandomProjectionOnline
Cardiotocography3Clases,0.8323917388916016,1.16752290725708,3190,3,10000,RandomProjectionOnline
ChessKrvk,0.3776732385158539,22.426748037338257,42084,18,10000,RandomProjectionOnline
ChessKrvkp,0.8861076235771179,1.8943331241607666,4794,2,10000,RandomProjectionOnline
CongressionalVoting,0.6146789193153381,0.2436211109161377,652,2,10000,RandomProjectionOnline
ConnBenchSonarMinesRocks,0.7307692170143127,0.14464616775512695,312,2,10000,RandomProjectionOnline
ConnBenchVowelDeterding,0.709956705570221,0.7401971817016602,1056,11,10000,RandomProjectionOnline
Connect4,0.7536858320236206,43.22489309310913,101336,3,10000,RandomProjectionOnline
Contrac,0.42934781312942505,0.8271050453186035,2210,3,10000,RandomProjectionOnline
CreditApproval,0.819767415523529,0.3756999969482422,1036,2,10000,RandomProjectionOnline
CylinderBands,0.6484375,0.6572422981262207,768,2,10000,RandomProjectionOnline
Dermatology,0.8901098966598511,0.30756521224975586,550,6,10000,RandomProjectionOnline
Echocardiogram,0.8787878751754761,0.11183500289916992,196,2,10000,RandomProjectionOnline
Ecoli,0.6666666865348816,0.3156158924102783,504,8,10000,RandomProjectionOnline
EnergyY1,0.8125,0.7658171653747559,1152,3,10000,RandomProjectionOnline
EnergyY2,0.84375,0.5533130168914795,1152,3,10000,RandomProjectionOnline
Fertility,0.5600000023841858,0.09827995300292969,150,2,10000,RandomProjectionOnline
Flags,0.4375,0.22773194313049316,292,8,10000,RandomProjectionOnline
Glass,0.4716981053352356,0.24501991271972656,322,6,10000,RandomProjectionOnline
HabermanSurvival,0.6315789222717285,0.19102263450622559,460,2,10000,RandomProjectionOnline
HayesRoth,0.0357142873108387,0.10762214660644531,264,3,10000,RandomProjectionOnline
HeartCleveland,0.5394737124443054,0.19530081748962402,454,5,10000,RandomProjectionOnline
HeartHungarian,0.698630154132843,0.22773194313049316,442,5,10000,RandomProjectionOnline
HeartSwitzerland,0.29032257199287415,0.09543085098266602,184,5,10000,RandomProjectionOnline
HeartVa,0.36000001430511475,0.14467096328735352,300,5,10000,RandomProjectionOnline
Hepatitis,0.7948718070983887,0.09460997581481934,232,2,10000,RandomProjectionOnline
HillValley,0.8927392959594727,0.9693517684936523,1212,2,10000,RandomProjectionOnline
HorseColic,0.6029411554336548,1.1367292404174805,600,2,10000,RandomProjectionOnline
IlpdIndianLiver,0.5479452013969421,0.3282887935638428,874,2,10000,RandomProjectionOnline
ImageSegmentation,0.3147619068622589,1.6516242027282715,420,7,10000,RandomProjectionOnline
Ionosphere,0.9318181872367859,0.23965191841125488,526,2,10000,RandomProjectionOnline
Iris,0.8648648858070374,0.12323999404907227,226,3,10000,RandomProjectionOnline
LedDisplay,0.7519999742507935,0.6491708755493164,1500,10,10000,RandomProjectionOnline
Lenses,0.5,0.02904796600341797,36,3,10000,RandomProjectionOnline
Letter,0.847000002861023,15.663992166519165,30000,26,10000,RandomProjectionOnline
Libras,0.5888888835906982,0.914729118347168,540,15,10000,RandomProjectionOnline
LowResSpect,0.9172932505607605,0.8859200477600098,796,9,10000,RandomProjectionOnline
LungCancer,0.375,0.1504361629486084,48,3,10000,RandomProjectionOnline
Lymphography,0.837837815284729,0.36701178550720215,222,4,10000,RandomProjectionOnline
Magic,0.796635091304779,13.264257907867432,28530,2,10000,RandomProjectionOnline
Mammographic,0.7041666507720947,0.5412321090698242,1442,2,10000,RandomProjectionOnline
Miniboone,0.8578238487243652,66.06542801856995,195096,2,10000,RandomProjectionOnline
MolecBiolPromoter,0.807692289352417,0.07802915573120117,160,2,10000,RandomProjectionOnline
MolecBiolSplice,0.7942283749580383,1.7404112815856934,4786,3,10000,RandomProjectionOnline
Monks1,0.5763888955116272,0.3997170925140381,248,2,10000,RandomProjectionOnline
Monks2,0.4930555522441864,0.9064991474151611,338,2,10000,RandomProjectionOnline
Monks3,0.5671296119689941,0.4655461311340332,244,2,10000,RandomProjectionOnline
Mushroom,0.9995076060295105,4.283246278762817,12186,2,10000,RandomProjectionOnline
Musk1,0.7731092572212219,0.4582788944244385,714,2,10000,RandomProjectionOnline
Musk2,0.8629472255706787,5.513056755065918,9898,2,10000,RandomProjectionOnline
Nursery,0.8783950805664062,6.86089301109314,19440,5,10000,RandomProjectionOnline
OocytesMerlucciusNucleus4d,0.7568627595901489,0.5414028167724609,1534,2,10000,RandomProjectionOnline
OocytesMerlucciusStates2f,0.8941176533699036,0.5208020210266113,1534,3,10000,RandomProjectionOnline
