Name,Accuracy,Time,Size,Classes,Dimensions,Method
Abalone,0.5680076479911804,25.28398108482361,6266,3,10000,HashmapProjectionRegenerativeContinuous
Abalone,0.5660919547080994,25.44258189201355,6266,3,10000,HashmapProjectionRegenerativeContinuous
Abalone,0.5498084425926208,25.946046829223633,6266,3,10000,HashmapProjectionRegenerativeContinuous
Abalone,0.538314163684845,25.478124380111694,6266,3,10000,HashmapProjectionRegenerativeContinuous
AcuteInflammation,1.0,1.3868253231048584,180,2,10000,HashmapProjectionRegenerativeContinuous
AcuteInflammation,1.0,1.3971304893493652,180,2,10000,HashmapProjectionRegenerativeContinuous
AcuteInflammation,1.0,1.3974108695983887,180,2,10000,HashmapProjectionRegenerativeContinuous
AcuteInflammation,1.0,1.3951361179351807,180,2,10000,HashmapProjectionRegenerativeContinuous
AcuteNephritis,1.0,1.3684089183807373,180,2,10000,HashmapProjectionRegenerativeContinuous
AcuteNephritis,1.0,1.2564616203308105,180,2,10000,HashmapProjectionRegenerativeContinuous
AcuteNephritis,1.0,1.2521686553955078,180,2,10000,HashmapProjectionRegenerativeContinuous
AcuteNephritis,1.0,1.2526791095733643,180,2,10000,HashmapProjectionRegenerativeContinuous
Adult,0.8426386713981628,259.7373230457306,65122,2,10000,HashmapProjectionRegenerativeContinuous
Annealing,0.6499999761581421,6.725614309310913,1596,5,10000,HashmapProjectionRegenerativeContinuous
Arrhythmia,0.6902654767036438,9.61403751373291,678,13,10000,HashmapProjectionRegenerativeContinuous
Arrhythmia,0.3362831771373749,9.711951494216919,678,13,10000,HashmapProjectionRegenerativeContinuous
Arrhythmia,0.5575221180915833,9.700219631195068,678,13,10000,HashmapProjectionRegenerativeContinuous
Arrhythmia,0.6460176706314087,9.563608407974243,678,13,10000,HashmapProjectionRegenerativeContinuous
AudiologyStd,0.800000011920929,2.2581534385681152,342,18,10000,HashmapProjectionRegenerativeContinuous
BalanceScale,0.942307710647583,3.962721824645996,938,3,10000,HashmapProjectionRegenerativeContinuous
BalanceScale,0.8974359035491943,3.8548073768615723,938,3,10000,HashmapProjectionRegenerativeContinuous
BalanceScale,0.9294871687889099,3.8498053550720215,938,3,10000,HashmapProjectionRegenerativeContinuous
BalanceScale,0.9487179517745972,3.8412888050079346,938,3,10000,HashmapProjectionRegenerativeContinuous
Balloons,0.75,0.6998460292816162,24,2,10000,HashmapProjectionRegenerativeContinuous
Balloons,0.25,0.7003986835479736,24,2,10000,HashmapProjectionRegenerativeContinuous
Balloons,0.75,0.6916322708129883,24,2,10000,HashmapProjectionRegenerativeContinuous
Balloons,0.75,0.6937141418457031,24,2,10000,HashmapProjectionRegenerativeContinuous
Bank,0.8858407139778137,25.684611320495605,6782,2,10000,HashmapProjectionRegenerativeContinuous
Bank,0.7327433824539185,26.13228440284729,6782,2,10000,HashmapProjectionRegenerativeContinuous
