Name,Accuracy,Time,Dimensions,Method,Encoding,Iterations,Retrain
EuropeanLanguages,0.05047618970274925,343.58828926086426,10000,add,hashmap,1,True
EuropeanLanguages,0.049809522926807404,344.2162170410156,10000,add,hashmap,1,True
EuropeanLanguages,0.049714285880327225,411.993230342865,10000,add,hashmap,1,True
PAMAP,0.9291820526123047,493.5063009262085,10000,add,hashmap,1,True
PAMAP,0.9276044368743896,493.4562578201294,10000,add,hashmap,1,True
PAMAP,0.9260268211364746,466.7752721309662,10000,add,hashmap,1,True
PAMAP,0.9249006509780884,558.5892469882965,10000,add,hashmap,1,True
PAMAP,0.9291585683822632,532.6787931919098,10000,add,hashmap,1,True
PAMAP,0.9234855771064758,554.9408383369446,10000,add,hashmap,1,True
PAMAP,0.9481740593910217,411.8353588581085,10000,add,hashmap,1,True
PAMAP,0.9536355137825012,386.73631048202515,10000,add,hashmap,1,True
PAMAP,0.9463856220245361,369.0642740726471,10000,add,hashmap,1,True
PAMAP,0.9407849311828613,570.3353772163391,10000,add,hashmap,1,True
PAMAP,0.942638635635376,507.49756383895874,10000,add,hashmap,1,True
PAMAP,0.943091094493866,483.8814091682434,10000,add,hashmap,1,True
PAMAP,0.8516437411308289,703.443067073822,10000,add,hashmap,1,True
PAMAP,0.8517427444458008,588.429505109787,10000,add,hashmap,1,True
PAMAP,0.8599366545677185,542.6103525161743,10000,add,hashmap,1,True
PAMAP,0.9056743383407593,507.61900877952576,10000,add,hashmap,1,True
PAMAP,0.9130779504776001,664.6532192230225,10000,add,hashmap,1,True
PAMAP,0.898216962814331,368.0821192264557,10000,add,hashmap,1,True
PAMAP,0.9460585713386536,377.7132532596588,10000,add,hashmap,1,True
PAMAP,0.954870343208313,334.41727209091187,10000,add,hashmap,1,True
PAMAP,0.9508768320083618,364.8790080547333,10000,add,hashmap,1,True
PAMAP,0.9480100274085999,388.0855255126953,10000,add,hashmap,1,True
PAMAP,0.9548382759094238,391.4127435684204,10000,add,hashmap,1,True
PAMAP,0.9490516185760498,417.0694189071655,10000,add,hashmap,1,True
EuropeanLanguages,0.050380952656269073,179.97811198234558,10000,add,hashmap,1,False
EuropeanLanguages,0.05009523779153824,174.27443861961365,10000,add,hashmap,1,False
EuropeanLanguages,0.04985714331269264,193.39071321487427,10000,add,hashmap,1,False
PAMAP,0.9268628358840942,242.6331000328064,10000,add,hashmap,1,False
PAMAP,0.9306787848472595,248.4434506893158,10000,add,hashmap,1,False
PAMAP,0.9281572699546814,274.3615975379944,10000,add,hashmap,1,False
PAMAP,0.9286568760871887,387.8585207462311,10000,add,hashmap,1,False
PAMAP,0.9276534914970398,253.34419679641724,10000,add,hashmap,1,False
PAMAP,0.9250164031982422,286.12924456596375,10000,add,hashmap,1,False
PAMAP,0.9498279094696045,183.96732258796692,10000,add,hashmap,1,False
PAMAP,0.9496163725852966,170.53520822525024,10000,add,hashmap,1,False
PAMAP,0.9499624967575073,255.60612154006958,10000,add,hashmap,1,False
PAMAP,0.9385080337524414,354.9652211666107,10000,add,hashmap,1,False
PAMAP,0.9441273808479309,347.9699926376343,10000,add,hashmap,1,False
PAMAP,0.9426678419113159,340.6734809875488,10000,add,hashmap,1,False
PAMAP,0.8549856543540955,386.10126423835754,10000,add,hashmap,1,False
PAMAP,0.8578200936317444,314.8035349845886,10000,add,hashmap,1,False
PAMAP,0.8649371266365051,286.42855191230774,10000,add,hashmap,1,False
PAMAP,0.9145559668540955,288.27771401405334,10000,add,hashmap,1,False
PAMAP,0.9008774161338806,261.5489146709442,10000,add,hashmap,1,False
PAMAP,0.902987003326416,290.6667869091034,10000,add,hashmap,1,False
PAMAP,0.9483157992362976,286.0735545158386,10000,add,hashmap,1,False
PAMAP,0.9523527026176453,278.3589277267456,10000,add,hashmap,1,False
PAMAP,0.9492418169975281,234.7950565814972,10000,add,hashmap,1,False
PAMAP,0.9460039734840393,312.051527261734,10000,add,hashmap,1,False
PAMAP,0.9523821473121643,317.8396575450897,10000,add,hashmap,1,False
PAMAP,0.9493988156318665,321.8231873512268,10000,add,hashmap,1,False
EuropeanLanguages,0.05014285817742348,498.0441646575928,10000,add_adapt,hashmap,1,True
EuropeanLanguages,0.05180952325463295,492.03891611099243,10000,add_adapt,hashmap,1,True
EuropeanLanguages,0.04657142981886864,478.78935146331787,10000,add_adapt,hashmap,1,True
PAMAP,0.9569321274757385,487.00658535957336,10000,add_adapt,hashmap,1,True
PAMAP,0.9572287797927856,486.97939586639404,10000,add_adapt,hashmap,1,True
PAMAP,0.9648742079734802,482.02784419059753,10000,add_adapt,hashmap,1,True
PAMAP,0.9522492289543152,501.609689950943,10000,add_adapt,hashmap,1,True
PAMAP,0.9498951435089111,534.0445826053619,10000,add_adapt,hashmap,1,True
PAMAP,0.9523392915725708,504.8828022480011,10000,add_adapt,hashmap,1,True
PAMAP,0.9698082804679871,339.29154992103577,10000,add_adapt,hashmap,1,True
PAMAP,0.9687890410423279,372.1322205066681,10000,add_adapt,hashmap,1,True
PAMAP,0.9697121381759644,335.5371985435486,10000,add_adapt,hashmap,1,True
PAMAP,0.9651160836219788,435.12384057044983,10000,add_adapt,hashmap,1,True
PAMAP,0.961540162563324,468.68714356422424,10000,add_adapt,hashmap,1,True
PAMAP,0.9672325253486633,415.31744360923767,10000,add_adapt,hashmap,1,True
PAMAP,0.9421848654747009,516.3618383407593,10000,add_adapt,hashmap,1,True
PAMAP,0.9365159869194031,507.145254611969,10000,add_adapt,hashmap,1,True
PAMAP,0.9376052021980286,487.3205552101135,10000,add_adapt,hashmap,1,True
PAMAP,0.9573250412940979,458.5238616466522,10000,add_adapt,hashmap,1,True
PAMAP,0.9583327770233154,425.1594076156616,10000,add_adapt,hashmap,1,True
PAMAP,0.9579430818557739,472.1857283115387,10000,add_adapt,hashmap,1,True
PAMAP,0.9661274552345276,406.23294854164124,10000,add_adapt,hashmap,1,True
PAMAP,0.9670534729957581,408.2111961841583,10000,add_adapt,hashmap,1,True
PAMAP,0.9671403169631958,516.497275352478,10000,add_adapt,hashmap,1,True
PAMAP,0.969832181930542,534.5901517868042,10000,add_adapt,hashmap,1,True
PAMAP,0.9686362743377686,539.3179330825806,10000,add_adapt,hashmap,1,True
PAMAP,0.964469850063324,592.5591857433319,10000,add_adapt,hashmap,1,True
EuropeanLanguages,0.05009523779153824,447.1962957382202,10000,add_adapt,hashmap,1,False
EuropeanLanguages,0.05128571391105652,439.07368659973145,10000,add_adapt,hashmap,1,False
EuropeanLanguages,0.04885714128613472,478.31690740585327,10000,add_adapt,hashmap,1,False
PAMAP,0.9976537823677063,403.1329243183136,10000,add_adapt,hashmap,1,False
PAMAP,0.9964807033538818,332.9060983657837,10000,add_adapt,hashmap,1,False
PAMAP,0.9933119416236877,349.0476851463318,10000,add_adapt,hashmap,1,False
PAMAP,0.9978388547897339,391.0965404510498,10000,add_adapt,hashmap,1,False
PAMAP,0.9956905841827393,351.85293340682983,10000,add_adapt,hashmap,1,False
PAMAP,0.9976072907447815,359.08522367477417,10000,add_adapt,hashmap,1,False
PAMAP,0.9918463230133057,249.2584981918335,10000,add_adapt,hashmap,1,False
PAMAP,0.9969423413276672,232.74221920967102,10000,add_adapt,hashmap,1,False
PAMAP,0.9672313928604126,213.91106343269348,10000,add_adapt,hashmap,1,False
PAMAP,0.9937530159950256,294.66304659843445,10000,add_adapt,hashmap,1,False
PAMAP,0.9962050914764404,348.7033574581146,10000,add_adapt,hashmap,1,False
PAMAP,0.9965699911117554,458.7330369949341,10000,add_adapt,hashmap,1,False
PAMAP,0.9981557726860046,487.3529963493347,10000,add_adapt,hashmap,1,False
PAMAP,0.9975863695144653,561.6650772094727,10000,add_adapt,hashmap,1,False
PAMAP,0.9883651733398438,537.7535972595215,10000,add_adapt,hashmap,1,False
PAMAP,0.990016520023346,493.6263213157654,10000,add_adapt,hashmap,1,False
PAMAP,0.9949074983596802,543.5210318565369,10000,add_adapt,hashmap,1,False
PAMAP,0.9960899353027344,451.6281044483185,10000,add_adapt,hashmap,1,False
PAMAP,0.9795838594436646,490.1581220626831,10000,add_adapt,hashmap,1,False
PAMAP,0.9981189966201782,473.0271592140198,10000,add_adapt,hashmap,1,False
PAMAP,0.9805822372436523,477.8613305091858,10000,add_adapt,hashmap,1,False
PAMAP,0.9948819875717163,536.9375066757202,10000,add_adapt,hashmap,1,False
PAMAP,0.982305645942688,518.3667821884155,10000,add_adapt,hashmap,1,False
PAMAP,0.9904713034629822,484.2150523662567,10000,add_adapt,hashmap,1,False
EuropeanLanguages,0.04714285582304001,829.5786292552948,10000,add_online,hashmap,1,True
EuropeanLanguages,0.04714285582304001,788.6807513237,10000,add_online,hashmap,1,True
EuropeanLanguages,0.0476190485060215,719.1982028484344,10000,add_online,hashmap,1,True
PAMAP,0.9336991906166077,494.5106830596924,10000,add_online,hashmap,1,True
PAMAP,0.9315013289451599,543.6175651550293,10000,add_online,hashmap,1,True
PAMAP,0.9306787848472595,505.2318308353424,10000,add_online,hashmap,1,True
PAMAP,0.9302520155906677,510.44543623924255,10000,add_online,hashmap,1,True
PAMAP,0.9342012405395508,506.7912263870239,10000,add_online,hashmap,1,True
PAMAP,0.9307922720909119,514.9948470592499,10000,add_online,hashmap,1,True
PAMAP,0.9535778164863586,383.43228483200073,10000,add_online,hashmap,1,True
PAMAP,0.9517509341239929,376.2803635597229,10000,add_online,hashmap,1,True
PAMAP,0.9499817490577698,442.99653840065,10000,add_online,hashmap,1,True
