Name,Accuracy,Time,Dimensions,Method,Encoding,Iterations,Retrain
Abalone,0.5545976758003235,8.20165228843689,10000,add,hashmap,1,False
Abalone,0.5584291219711304,4.747174978256226,10000,add,hashmap,1,False
Abalone,0.5584291219711304,5.19605565071106,10000,add,hashmap,1,False
AcuteInflammation,1.0,0.26065850257873535,10000,add,hashmap,1,False
AcuteInflammation,1.0,0.34716343879699707,10000,add,hashmap,1,False
AcuteInflammation,1.0,0.3363180160522461,10000,add,hashmap,1,False
AcuteNephritis,1.0,0.18193984031677246,10000,add,hashmap,1,False
AcuteNephritis,1.0,0.30807065963745117,10000,add,hashmap,1,False
AcuteNephritis,1.0,0.3379337787628174,10000,add,hashmap,1,False
Adult,0.7083716988563538,64.68533086776733,10000,add,hashmap,1,False
Adult,0.7083716988563538,60.37236213684082,10000,add,hashmap,1,False
Adult,0.7025367021560669,60.25042104721069,10000,add,hashmap,1,False
Annealing,0.5099999904632568,1.0934500694274902,10000,add,hashmap,1,False
Annealing,0.5600000023841858,0.8539395332336426,10000,add,hashmap,1,False
Annealing,0.5299999713897705,1.067307472229004,10000,add,hashmap,1,False
Arrhythmia,0.6814159154891968,0.5943262577056885,10000,add,hashmap,1,False
Arrhythmia,0.6548672318458557,0.8844895362854004,10000,add,hashmap,1,False
Arrhythmia,0.6725663542747498,0.9725749492645264,10000,add,hashmap,1,False
AudiologyStd,0.8399999737739563,0.40381288528442383,10000,add,hashmap,1,False
AudiologyStd,0.800000011920929,0.41883301734924316,10000,add,hashmap,1,False
AudiologyStd,0.8399999737739563,0.5199811458587646,10000,add,hashmap,1,False
BalanceScale,0.7948718070983887,0.8125631809234619,10000,add,hashmap,1,False
BalanceScale,0.7948718070983887,1.2219746112823486,10000,add,hashmap,1,False
BalanceScale,0.7884615659713745,0.6526520252227783,10000,add,hashmap,1,False
Balloons,1.0,0.029247760772705078,10000,add,hashmap,1,False
Balloons,1.0,0.0316007137298584,10000,add,hashmap,1,False
Balloons,1.0,0.03061652183532715,10000,add,hashmap,1,False
Bank,0.6460176706314087,5.64564061164856,10000,add,hashmap,1,False
Bank,0.6486725807189941,4.919304847717285,10000,add,hashmap,1,False
Bank,0.6486725807189941,7.176688194274902,10000,add,hashmap,1,False
Blood,0.5989304780960083,1.0579371452331543,10000,add,hashmap,1,False
Blood,0.5882353186607361,0.995854377746582,10000,add,hashmap,1,False
Blood,0.6042780876159668,1.3765101432800293,10000,add,hashmap,1,False
BreastCancer,0.7183098793029785,0.30481576919555664,10000,add,hashmap,1,False
BreastCancer,0.7042253613471985,0.7696723937988281,10000,add,hashmap,1,False
BreastCancer,0.7183098793029785,0.8521213531494141,10000,add,hashmap,1,False
BreastCancerWisc,0.9657142758369446,1.3234219551086426,10000,add,hashmap,1,False
BreastCancerWisc,0.9657142758369446,1.121835470199585,10000,add,hashmap,1,False
BreastCancerWisc,0.9599999785423279,0.754342794418335,10000,add,hashmap,1,False
BreastCancerWiscDiag,0.9295774698257446,0.9927396774291992,10000,add,hashmap,1,False
BreastCancerWiscDiag,0.9366196990013123,0.9003591537475586,10000,add,hashmap,1,False
BreastCancerWiscDiag,0.922535240650177,1.0057010650634766,10000,add,hashmap,1,False
BreastCancerWiscProg,0.5918367505073547,0.5864965915679932,10000,add,hashmap,1,False
BreastCancerWiscProg,0.5306122303009033,0.4613213539123535,10000,add,hashmap,1,False
BreastCancerWiscProg,0.5510203838348389,0.5591995716094971,10000,add,hashmap,1,False
BreastTissue,0.6538461446762085,0.23642730712890625,10000,add,hashmap,1,False
BreastTissue,0.6153846383094788,0.2798914909362793,10000,add,hashmap,1,False
BreastTissue,0.6538461446762085,0.24738645553588867,10000,add,hashmap,1,False
Car,0.7800925970077515,2.4174246788024902,10000,add,hashmap,1,False
