Name,Accuracy,AccuracyInitial,Time,Dimensions,Method,Encoding,Iterations,Retrain
Abalone,0.6283524632453918,0.5909961462020874,494.99949049949646,10000,add_online,flocet,50,False
Abalone,0.6340996026992798,0.5699234008789062,181.53077816963196,10000,add_online,flocet,18,False
Abalone,0.5996168851852417,0.5584291219711304,295.0904748439789,10000,add_online,flocet,30,False
AcuteInflammation,1.0,1.0,0.9369032382965088,10000,add_online,flocet,4,False
AcuteInflammation,1.0,1.0,2.056821346282959,10000,add_online,flocet,4,False
AcuteInflammation,1.0,1.0,1.1525821685791016,10000,add_online,flocet,4,False
AcuteNephritis,1.0,1.0,1.5853431224822998,10000,add_online,flocet,4,False
AcuteNephritis,1.0,1.0,2.1120433807373047,10000,add_online,flocet,4,False
AcuteNephritis,1.0,1.0,2.1439311504364014,10000,add_online,flocet,6,False
Adult,0.8194828033447266,0.8212026357650757,1867.8390803337097,10000,add_online,flocet,17,False
Adult,0.8042503595352173,0.80983966588974,2790.441910266876,10000,add_online,flocet,25,False
Adult,0.8148148059844971,0.8056630492210388,1818.3697049617767,10000,add_online,flocet,16,False
Annealing,0.6800000071525574,0.7599999904632568,41.683321952819824,10000,add_online,flocet,18,False
Annealing,0.800000011920929,0.7799999713897705,86.1929247379303,10000,add_online,flocet,41,False
Annealing,0.7599999904632568,0.7699999809265137,21.01300358772278,10000,add_online,flocet,9,False
Arrhythmia,0.7079645991325378,0.6460176706314087,11.957078218460083,10000,add_online,flocet,12,False
Arrhythmia,0.7079645991325378,0.6814159154891968,12.733411312103271,10000,add_online,flocet,9,False
Arrhythmia,0.7256637215614319,0.7079645991325378,22.78481101989746,10000,add_online,flocet,16,False
AudiologyStd,0.800000011920929,0.47999998927116394,5.221381664276123,10000,add_online,flocet,8,False
AudiologyStd,0.8399999737739563,0.5199999809265137,5.261467218399048,10000,add_online,flocet,8,False
AudiologyStd,0.7200000286102295,0.800000011920929,3.425806760787964,10000,add_online,flocet,6,False
BalanceScale,0.9487179517745972,0.9102563858032227,19.089057683944702,10000,add_online,flocet,15,False
BalanceScale,0.9487179517745972,0.9166666865348816,20.7623553276062,10000,add_online,flocet,14,False
BalanceScale,0.9487179517745972,0.9038461446762085,25.742667198181152,10000,add_online,flocet,15,False
Balloons,0.75,0.75,0.3473086357116699,10000,add_online,flocet,8,False
Balloons,1.0,0.75,0.5091555118560791,10000,add_online,flocet,8,False
Balloons,1.0,0.75,0.3405647277832031,10000,add_online,flocet,8,False
Bank,0.8946902751922607,0.8752212524414062,131.54842281341553,10000,add_online,flocet,11,False
Bank,0.886725664138794,0.8964601755142212,168.95694732666016,10000,add_online,flocet,16,False
Bank,0.883185863494873,0.8796460032463074,202.94162011146545,10000,add_online,flocet,16,False
Blood,0.6844919919967651,0.7540106773376465,46.04328179359436,10000,add_online,flocet,18,False
Blood,0.7058823704719543,0.6417112350463867,122.88380098342896,10000,add_online,flocet,50,False
Blood,0.7219251394271851,0.614973247051239,113.8387041091919,10000,add_online,flocet,50,False
BreastCancer,0.6619718074798584,0.577464759349823,33.2877140045166,10000,add_online,flocet,50,False
BreastCancer,0.6619718074798584,0.6197183132171631,12.238505601882935,10000,add_online,flocet,19,False
BreastCancer,0.6338028311729431,0.7042253613471985,29.10064458847046,10000,add_online,flocet,50,False
BreastCancerWisc,0.9599999785423279,0.9428571462631226,20.292137384414673,10000,add_online,flocet,12,False
BreastCancerWisc,0.9828571677207947,0.9657142758369446,14.72741413116455,10000,add_online,flocet,8,False
BreastCancerWisc,0.9599999785423279,0.954285740852356,15.105769872665405,10000,add_online,flocet,9,False
BreastCancerWiscDiag,0.9788732528686523,0.9647887349128723,10.329538345336914,10000,add_online,flocet,7,False
BreastCancerWiscDiag,0.98591548204422,0.9788732528686523,13.141079425811768,10000,add_online,flocet,10,False
BreastCancerWiscDiag,0.9788732528686523,0.7746478915214539,11.752047061920166,10000,add_online,flocet,9,False
BreastCancerWiscProg,0.7551020383834839,0.7346938848495483,4.947725296020508,10000,add_online,flocet,11,False
BreastCancerWiscProg,0.795918345451355,0.6938775777816772,4.6717143058776855,10000,add_online,flocet,11,False
BreastCancerWiscProg,0.7142857313156128,0.795918345451355,5.975937366485596,10000,add_online,flocet,12,False
BreastTissue,0.807692289352417,0.7307692170143127,2.295236110687256,10000,add_online,flocet,8,False
BreastTissue,0.692307710647583,0.807692289352417,3.132279634475708,10000,add_online,flocet,10,False
BreastTissue,0.7692307829856873,0.7307692170143127,3.3104846477508545,10000,add_online,flocet,13,False
Car,0.9629629850387573,0.8958333134651184,88.24379348754883,10000,add_online,flocet,21,False
Car,0.9513888955116272,0.875,59.29353308677673,10000,add_online,flocet,12,False
Car,0.9467592835426331,0.9027777910232544,52.587525606155396,10000,add_online,flocet,12,False
Cardiotocography10Clases,0.8531073331832886,0.7608286142349243,85.40824484825134,10000,add_online,flocet,16,False
Cardiotocography10Clases,0.839924693107605,0.7608286142349243,69.31468152999878,10000,add_online,flocet,14,False
Cardiotocography10Clases,0.839924693107605,0.7664783596992493,77.40415382385254,10000,add_online,flocet,17,False
Cardiotocography3Clases,0.9340866208076477,0.9077212810516357,58.746458768844604,10000,add_online,flocet,13,False
Cardiotocography3Clases,0.9284369349479675,0.8813559412956238,81.83819270133972,10000,add_online,flocet,19,False
Cardiotocography3Clases,0.9190207123756409,0.8832391500473022,69.86995220184326,10000,add_online,flocet,13,False
ChessKrvk,0.45694324374198914,0.4043341875076294,918.1492941379547,10000,add_online,flocet,13,False
ChessKrvk,0.4682064354419708,0.40504705905914307,3048.44490981102,10000,add_online,flocet,40,False
ChessKrvk,0.4854576587677002,0.41103506088256836,2007.879920244217,10000,add_online,flocet,28,False
ChessKrvkp,0.9724655747413635,0.957446813583374,48.2243869304657,10000,add_online,flocet,8,False
ChessKrvkp,0.9812265038490295,0.9612014889717102,74.85258483886719,10000,add_online,flocet,11,False
ChessKrvkp,0.9749687314033508,0.9474343061447144,50.30459761619568,10000,add_online,flocet,8,False
CongressionalVoting,0.60550457239151,0.4678899049758911,52.30449891090393,10000,add_online,flocet,50,False
CongressionalVoting,0.5871559381484985,0.5779816508293152,49.50249624252319,10000,add_online,flocet,50,False
CongressionalVoting,0.5596330165863037,0.38532111048698425,59.559367418289185,10000,add_online,flocet,50,False
ConnBenchSonarMinesRocks,0.8461538553237915,0.6730769276618958,4.353151321411133,10000,add_online,flocet,9,False
ConnBenchSonarMinesRocks,0.7884615659713745,0.692307710647583,3.108442544937134,10000,add_online,flocet,8,False
ConnBenchSonarMinesRocks,0.8846153616905212,0.8269230723381042,3.7652385234832764,10000,add_online,flocet,9,False
ConnBenchVowelDeterding,0.9567099809646606,0.7575757503509521,20.252581357955933,10000,add_online,flocet,11,False
ConnBenchVowelDeterding,0.9696969985961914,0.8463203310966492,17.791974306106567,10000,add_online,flocet,10,False
ConnBenchVowelDeterding,0.9653679728507996,0.8138527870178223,19.002624988555908,10000,add_online,flocet,12,False
Connect4,0.8197051286697388,0.8163893818855286,8064.826578140259,10000,add_online,flocet,50,False
Connect4,0.8246195912361145,0.8015276193618774,9059.666269302368,10000,add_online,flocet,50,False
Connect4,0.8262774348258972,0.804192066192627,9192.980701684952,10000,add_online,flocet,50,False
Contrac,0.5054348111152649,0.47010868787765503,256.3836839199066,10000,add_online,flocet,50,False
Contrac,0.46739131212234497,0.4646739065647125,228.93062591552734,10000,add_online,flocet,50,False
Contrac,0.5,0.4538043439388275,225.75722765922546,10000,add_online,flocet,50,False
CreditApproval,0.8313953280448914,0.8139534592628479,48.76703715324402,10000,add_online,flocet,26,False
CreditApproval,0.8488371968269348,0.8372092843055725,23.152987241744995,10000,add_online,flocet,13,False
CreditApproval,0.8430232405662537,0.8372092843055725,45.011048555374146,10000,add_online,flocet,25,False
CylinderBands,0.7890625,0.703125,16.548598527908325,10000,add_online,flocet,13,False
CylinderBands,0.75,0.7578125,26.953704833984375,10000,add_online,flocet,21,False
CylinderBands,0.7890625,0.4453125,21.590167999267578,10000,add_online,flocet,15,False
Dermatology,0.9780219793319702,0.9890109896659851,5.995926856994629,10000,add_online,flocet,7,False
Dermatology,0.9780219793319702,0.9890109896659851,6.138808965682983,10000,add_online,flocet,7,False
Dermatology,0.9890109896659851,0.8681318759918213,5.658729791641235,10000,add_online,flocet,7,False
Echocardiogram,0.8484848737716675,0.8484848737716675,2.7691779136657715,10000,add_online,flocet,8,False
Echocardiogram,0.8181818127632141,0.5151515007019043,3.818460464477539,10000,add_online,flocet,14,False
Echocardiogram,0.8181818127632141,0.8484848737716675,3.1131393909454346,10000,add_online,flocet,8,False
Ecoli,0.8333333134651184,0.7023809552192688,17.974557161331177,10000,add_online,flocet,19,False
Ecoli,0.8333333134651184,0.8452380895614624,18.48197627067566,10000,add_online,flocet,18,False
Ecoli,0.8214285969734192,0.8095238208770752,11.080946207046509,10000,add_online,flocet,10,False
EnergyY1,0.9479166865348816,0.8229166865348816,69.41253089904785,10000,add_online,flocet,25,False
EnergyY1,0.9583333134651184,0.8854166865348816,16.968754768371582,10000,add_online,flocet,6,False
EnergyY1,0.9427083134651184,0.8541666865348816,37.83289098739624,10000,add_online,flocet,15,False
EnergyY2,0.8645833134651184,0.84375,42.755733489990234,10000,add_online,flocet,18,False
EnergyY2,0.890625,0.8541666865348816,43.269896030426025,10000,add_online,flocet,16,False
EnergyY2,0.8958333134651184,0.8177083134651184,49.97547507286072,10000,add_online,flocet,20,False
Fertility,0.8799999952316284,0.8799999952316284,2.7875795364379883,10000,add_online,flocet,9,False
Fertility,0.9200000166893005,0.8399999737739563,3.605987310409546,10000,add_online,flocet,10,False
Fertility,0.8399999737739563,0.8799999952316284,15.99690318107605,10000,add_online,flocet,50,False
Flags,0.5416666865348816,0.4791666567325592,7.517350912094116,10000,add_online,flocet,12,False
Flags,0.5208333134651184,0.4375,6.194822788238525,10000,add_online,flocet,10,False
