epoch,accuracy,resources,train_duration,train_set_size,test_duration,test_set_size,dimensions,device,dataset
1,0.910099983215332,1.0,208.7291877269745,60000,17.880069494247437,10000,10000,cuda:3,MNIST
2,0.9246999621391296,1.0,217.23648190498352,60000,20.296863794326782,10000,10000,cuda:3,MNIST
3,0.9296999573707581,1.0,219.6149139404297,60000,23.135987281799316,10000,10000,cuda:3,MNIST
4,0.9261999726295471,1.0,213.32076215744019,60000,21.16343092918396,10000,10000,cuda:3,MNIST
5,0.9309999942779541,1.0,215.558669090271,60000,23.741843223571777,10000,10000,cuda:3,MNIST
6,0.9125999808311462,1.0,210.32431721687317,60000,20.681233644485474,10000,10000,cuda:3,MNIST
7,0.9312999844551086,1.0,214.0140027999878,60000,20.755383729934692,10000,10000,cuda:3,MNIST
8,0.945099949836731,1.0,212.9475395679474,60000,18.713114976882935,10000,10000,cuda:3,MNIST
9,0.9337999820709229,1.0,214.01484847068787,60000,21.352489948272705,10000,10000,cuda:3,MNIST
10,0.9435999989509583,1.0,170.4622437953949,60000,15.924263000488281,10000,10000,cuda:3,MNIST
1,0.8600999712944031,0.8999999761581421,158.62008476257324,60000,15.151081800460815,10000,10000,cuda:3,MNIST
2,0.802299976348877,0.8999999761581421,185.70543718338013,60000,20.504508018493652,10000,10000,cuda:3,MNIST
3,0.9380999803543091,0.8999999761581421,206.99140286445618,60000,20.72415804862976,10000,10000,cuda:3,MNIST
4,0.9390999674797058,0.8999999761581421,208.11939001083374,60000,19.885180473327637,10000,10000,cuda:3,MNIST
5,0.9217999577522278,0.8999999761581421,204.88825178146362,60000,21.15451407432556,10000,10000,cuda:3,MNIST
6,0.9440999627113342,0.8999999761581421,181.85372471809387,60000,14.985270023345947,10000,10000,cuda:3,MNIST
7,0.9314999580383301,0.8999999761581421,158.90000700950623,60000,19.735198736190796,10000,10000,cuda:3,MNIST
8,0.9276999831199646,0.8999999761581421,207.0455355644226,60000,20.9631564617157,10000,10000,cuda:3,MNIST
9,0.9332999587059021,0.8999999761581421,205.36805152893066,60000,17.476136922836304,10000,10000,cuda:3,MNIST
10,0.9049999713897705,0.8999999761581421,207.1509268283844,60000,23.696898460388184,10000,10000,cuda:3,MNIST
1,0.8982999920845032,0.800000011920929,188.30705523490906,60000,17.687193155288696,10000,10000,cuda:3,MNIST
2,0.854200005531311,0.800000011920929,194.5032515525818,60000,20.798115253448486,10000,10000,cuda:3,MNIST
3,0.9023999571800232,0.800000011920929,192.31636667251587,60000,20.902425050735474,10000,10000,cuda:3,MNIST
4,0.9335999488830566,0.800000011920929,197.9915816783905,60000,20.391631603240967,10000,10000,cuda:3,MNIST
5,0.9214999675750732,0.800000011920929,198.87035393714905,60000,20.745092630386353,10000,10000,cuda:3,MNIST
6,0.9174000024795532,0.800000011920929,161.16896510124207,60000,18.983489751815796,10000,10000,cuda:3,MNIST
7,0.9296000003814697,0.800000011920929,156.31592988967896,60000,15.508697986602783,10000,10000,cuda:3,MNIST
8,0.9292999505996704,0.800000011920929,153.18018174171448,60000,14.726081609725952,10000,10000,cuda:3,MNIST
9,0.9336999654769897,0.800000011920929,151.003666639328,60000,20.665054321289062,10000,10000,cuda:3,MNIST
10,0.9429000020027161,0.800000011920929,200.35584473609924,60000,20.975231647491455,10000,10000,cuda:3,MNIST
1,0.9090999960899353,0.699999988079071,189.89525079727173,60000,20.435079336166382,10000,10000,cuda:3,MNIST
2,0.9240999817848206,0.699999988079071,155.2444863319397,60000,18.50531530380249,10000,10000,cuda:3,MNIST
3,0.9196999669075012,0.699999988079071,144.63439273834229,60000,17.121925830841064,10000,10000,cuda:3,MNIST
4,0.9411999583244324,0.699999988079071,182.8516960144043,60000,20.05340003967285,10000,10000,cuda:3,MNIST
5,0.9113999605178833,0.699999988079071,190.21700048446655,60000,20.917747259140015,10000,10000,cuda:3,MNIST
6,0.9232999682426453,0.699999988079071,194.0532250404358,60000,19.912323713302612,10000,10000,cuda:3,MNIST
7,0.9330999851226807,0.699999988079071,188.33716130256653,60000,19.710638999938965,10000,10000,cuda:3,MNIST
